AAB;Average At Best
KEK;lol
KEW;Cool
KEWL;Cool
KEWT;Cute
KEYGEN;Software serial number generator
KF;Kinda Funny
KFC;Kentucky Fried Chicken
KG;Kilogram
KGB;Russian secret police
KGO;OK, Go
KH;Kingdom Hearts 
KHANKI;Whore, prostitute
KHUF;Know How You Feel
KHYF;Know How You Feel
KIA;Killed In Action
KICKS;Thrills
KIFF;Cool
KIFFE;Blow job
KIG;Keep It Gangsta
KIK;A mistyped version of LOL
KILLA;Good quality weed
KIM;Keep It Moving
KINDA;Kind Of
KINO;Physical flirting
KIO;Knock it off
KIR;Keepin' It Real
KIRF;Keeping It Real Fake
KIS;Keep It Simple
KIT;Keep In Touch
KIU;Keep It Up
KIV;Keep In View
KJ;Killjoy
KK;Okay
KKK;Ku Klux Klan
KKKK;lol
KKZ;Okay
KL;Cool
KLKL;Cool Cool
KLPD;Kahre Land Pe Dhokha 
KLUTZ;Clumsy or stupid person
KM;Keep Mum
KMA;Kiss My Ass
KMFA;Kiss My Fucking Ass
KMFT;Kiss My Fucking Teeth
KML;Killing Myself Laughing
KMN;Kill Me Now
KMP;Keep Me Posted
KMS;Kill Myself
KMSL;Killing Myself Laughing
KMSMA;Kiss My Shiny Metal Ass
KMT;Kiss My Teeth
KNO;Know
KNP;OK, No Problem
KO;Knock Out
KOI;Koibito
KOL;Kingdom Of Loathing 
KOO;Cool
KOOL;Cool
KOOLS;Mentholated cigarettes
KOS;Kill On Sight
KOTC;Kiss On The Cheek
KOTH;King of the Hill 
KOTL;Kiss On The Lips
KOTOR;Knights Of The Old Republic 
KP;Korean Pride
KPC;Keep Parents Clueless
KR;Kind Regards
KRAM;Smoke weed
KRO;Keep Right On
KS;Kill Steal
KTB;Ok, Thanks, Bye
KTBPA;Keep The Backstreet Pride Alive
KTBSPA;Keep The Backstreet Pride Alive
KTF;Keep The Faith
KTFO;Knocked The Fuck Out
KTHNXBI;OK, Thanks, Bye
KTHX;OK, Thanks
KTHXBAI;OK, Thanks, Bye
KTHXBI;Okay, Thanks, Bye
KTY;Ok, Thank You
KUDOS;Respect
KUL ;Cool
KUSH;High grade marijuana
KUSO;Shit
KUTGW;Keep Up The Good Work
KVM;Keyboard, Video, Mouse
KW;Kilowatt
KWEL;Cool
KWIM;Know What I Mean?
KWL;Cool
KYAG;Kiss Your Ass Goodbye
KYB;Kick Your Butt
KYFC;Keep Your Fingers Crossed
KYPO;Keep Your Panties On
KYS;Kill Yourself
KYSO;Knock Yourself Out
L2;Learn To
L2M;Listening To Music
L2P;Learn To Play
L2R;Learn to Read
L33T;Elite
L4D;Left 4 Dead
L7;Square
L8;Late
L8ER;Later
L8R;Later
LA;Cantonese Exclamation
LAB;Life's A Bitch
LABTOP;Laptop
LAD;Guy
LAFS;Love At First Sight
LAGG;Defeat, PWN
LAL;Laughing A Little
LALB;Laughing A Little Bit
LAM;Leave A Message
LAMBO;Lamborghini
LAMEO;Lame Person
LAMER;Annoying person
LAMF;Like A Mother Fucker
LAMO;Mispelling of LMAO
LAPPY;Laptop computer
LARP;Live Action Role Play
LART;Luser Attitude Readjustment Tool
LAT;Living Apart Together
LATA;same as LATERS
LATERS;See you later
LATERZ;See you later
LATM;Laughing At The Moment
LAU;Laughing At You
LAWD;Lord
LAWL;lol
LAWLS;lol
LAWLZ;lol
LAX;Lacrosse
LB;Little Bastard/Bitch
LBC;Long Beach, California
LBD;Little Black Dress
LBDN;Look Busy Doing Nothing
LBGT;Lesbian/Bisexual/Gay/Transgendered
LBM;Little Big Man
LBMO;Laughing My Butt Off
LBNL;Last But Not Least
LBR;Loser Beyond Repair
LBRS;Lower Blackrock Spire
LBVS;Laughing But Very Serious
LBW;Leg Before Wicket
LC;Lower Case
LCB;Lying Cheating Bastard
LCD;Liquid Crystal Display
LD;Link Dead
LDA;Long Distance Affair
LDL;Long Distance Lover
LDN;London
LDO;Like Duh, Obviously
LDR;Long Distance Relationship
LDS;Latter Day Saint
LE;Law Enforcement
LEDGE;legendary
LEES;Very Attractive person
LEET;Elite
LEGGO;Let's Go
LEL;lol
LEMME;Let Me
LEO;Law Enforcement Officer
LESBO;Lesbian
LEV;Low Emission Vehicle
LEVA;Traitor
LEWL;lol
LF;Looking For
LF1M;Looking For One More
LFD;Long Fucking Day
LFG;Looking For Group
LFK;Light French Kissing
LFM;Looking For More
LFP;Looking For Party
LFTSU;Look Forward To Seeing You
LFW;Looking For Work
LG;Little Girl
LGB;Lesbian/Gay/Bisexual
LGBT;Gay, Lesbian, Bisexual, Transgender
LGFB;Looks Good From Behind
LGMH;Love Gives Me Hope
LGTM;Looks Good To Me
LH;Living Hell
LHAO;Laughing His/Her Ass Off
LHH;Laughing Hella Hard
LHM;Lord Have Mercy
LHS;Let's Have Sex
LHYW;Like Hell You Will
LIAM;Pimp
LIB;Liberal
LIC;Like I Care
LIEK;Like
LIFO;last In First Out
LIG;Let It Go
LIGAF;Like I Give A Fuck
LIHOP;Let It Happen On Purpose
LIL;Little
LIMB;Laughing In My Brain
LIME;Hang out, socialise
LIMH;Laughing In My Head
LIPSING;Kissing
LIQ;Liquor
LIRL;Laughing In Real Life
LIS;Laughing In Silence
LITE;Light
LIU;Look It Up
LL;Laugh Loudly
LLAB;Laughing Like A Bitch
LLAMF;Laughing Like A Mother Fucker
LLAP;Live Long and Prosper
LLC;Laughing Like Crazy
LLF;Laughing Like Fuck
LLH;Laughing Like Hell
LLL;Loony Liberal Left
LLO;Misspelt LOL
LLOL;Literally LOL
LLS;Laughing Like Shit
LLZ;same as LOLZ
LM;Loud Mouth
LMA;Leave Me Alone
LMAM;Leave Me A Message
LMAO;Laughing My Ass Off
LMAP;Leave Me Alone Please
LMB;Lick My Balls
LMBAO;Laughing My Black Ass Off
LMBO;Laughing My Butt Off
LMC;Let Me Check
LMDO;Laugh My Dick Off
LMF;Lazy Mother Fucker
LMFAO;Laughing My Fucking Ass Off
LMFO;Laughing My Face Off
LMFOA;Misspelling of LMFAO
LMG;Light Machine Gun
LMGTFY;Let Me Google That For You
LMHO;Laughing My Head Off
LMIRL;Let's Meet In Real Life
LMK;Let Me Know
LML;Love My Life
LMN;Lick My Nuts
LMNO;Leave My Name Out
LMO;Leave Me Alone
LMOA;laughing my ass off
LMP;Lick My Pussy
LMS;Last Man Standing
LMSO;Laughing My Socks Off
LMT;Let Me Think
LMTAL;Let Me Take A look
LMTFA;Leave Me The Fuck Alone
LMTO;Laughing My Tits Off
LNIB;Like New In Box
LO;Hello
LOA;Leave of Absence
LOAF;Head
LODA;Penis
LOFL;Laughing Out Fucking Loud
LOI;Laughing On the Inside
LOK;LOL OK
LOLAGE;lol
LOLAK;Lots Of Love And Kisses
LOLCAT;Cat picture with silly caption
LOLED;lol'ed
LOLI;Underage girl
LOLING;The act of lol
LOLK;lol, ok
LOLL;lol Literally
LOLO;Lowrider
LOLOL;Lots Of lol
LOLV;Lots Of Love
LOLWUT;What?
LOLX;lol
LOLZ;lol
LOLZA;lol
LOMA;Laughing Out My Ass
LOML;Love Of My Life
LOMO;Lights Out, Missionary Only
LOO;Toilet
LOOL;lol
LOP;Stupid person
LOQ;Laugh Out Quietly
LORL;Laugh Out Really Loud
LOS;Line Of Site
LOTI;Laughing On The Inside
LOTR;Lord of the Rings
LOTRO;Lord Of The Rings Online
LOTTA;Lot of
LOUD;Good quality marijuana
LOVL;Laughing Out Very Loud
LOW IT;don't worry
LOWBOB;Blow job
LOWE;Don't bother, forget it
LOZ;Legend of Zelda
LQ;Liquor
LQI;Laughing Quietly Inside
LQTM;Laughing Quietly To Myself
LQTMS;Laughing Quietly To Myself
LQTY;Laughing Quietly To Yourself
LRF;Low Resolution Fox, attractive at a distance
LRG;Lifted Research Group
LRL;Laughing Really Loud
LS;Lovesick
LSE;Low Self-Esteem
LSFH;Laughing So Fucking Hard
LSH;laughing so hard
LSHIC;Laughing So Hard I'm Crying
LSHMBH;Laughing So Hard My Belly Hurts
LSI;Limited Social Interaction
LSMIH;Laughing So Much It Hurts
LSP;Love Sick Puppy
LSR;Loser
LSS;Last Song Syndrome
LSTM;Laughing Silently To Myself
LTB;Looking To Buy
LTD;Live/Living The Dream
LTG;Learn To Google
LTIC;Laugh Til I Cry
LTL;Living The Life
LTM;Laughing To Myself
LTMQ;Laughing To Myself Quietly
LTNC;Long Time No Chat
LTNS;Long Time No See
LTNT;Long Time No Talk
LTP;Lost The Plot
LTR;Long term relationship
LTY;Laugh To Yourself
LU;Love You
LUA;Love You Always
LUB;Love
LUBB;Love
LUDDER;Slut, hoe
LUFF;Friendly Love
LUL;Lame Uncomfortable Laugh
LULAB;Love You Like A Brother
LULAS;Love You Like A Sister
LULS;same as LOL
LULZ;same as LOL
LUMI;Love You, Mean It
LUMU;Love You Miss You
LUND;Penis (Hindi)
LURV;Love
LURVE;Love
LUSM;Love You So Much
LUV;Love
LUVVIE;Stage actor
LV;Louis Vuitton
LVL;Level
LW;Lucky Win
LWKM;Laugh Wan Kill Me
LWKMD;Laugh Wan Kill Me Die
LWM;Laugh With Me
LWP;Laughing With Passion
LXG;League of Extraordinary Gentlemen
LY;Love You
LY2;Love You Too
LYAAF;Love You As A Friend
LYAO;Laughing Your Ass Off
LYB;Love You, Bye
LYF;Love You Forever
LYK;Let you know
LYKE ;Like
LYL;Love You Lots
LYLAB;Love You Like A Brother
LYLAF;Love You Like A Friend
LYLAS;Love You Like A Sister
LYLMB;Love You Like My Brother
LYLT;Love You Long Time
LYM;Love You More
LYMI;Love You, Mean It
LYMYWY;Love You, Miss You, Want You
LYR;Love You Really
LYSFM;Love You So F***ing Much
LYSM;Love You So Much
LYT;Love You Too
LZ;Landing Zone
M&D;Mum and Dad
M&M;Small chocolate candy
M&S;Marks & Spencer
M/F;Male/Female
M/O;Make Out
M2;Me Too
M2AF;Message To All Friends
M2D;Make my day
M2FP;My Two Favorite People
M3;BMW sports car
M33T;Meet
M4M;Man looking for another man
M4T;Man looking for a transvestite
M4W;Man looking for a woman
M8;Mate
MA;Mom alert
MAC;Macintosh
MACHING;Going at maximum Speed
MACK;Flirt
MADARCHOD;Hindi for MF
MADD;Mothers Against Drunk Driving
MAG;Magazine
MAH;My
MAL;Mean, bad, evil
MAMI;baby
MAN U;Manchester United
MANDEM;Group of men
MANG;Man
MANKY;Nasty
MAS;Mildly Amused Smirk
MAUH;Kiss
MAWOY;May Angels Watch Over You
MBA;Married But Available
MBF;My Best Friend
MBFAM ;My Brother From Another Mother
MBN;Must Be Nice
MBO;Must Be Off
MC;Master of Ceremonies
MCD;McDonald's
MCL;Much Clown Love
MCP;Male Chauvanist Pig
MCR;My Chemical Romance
MD;Doctor of Medicine
MDMA;Ecstasy
MDR;Mort De Rire
MDW;Memorial Day Weekend
ME2;Me Too
MEC;Dude
MED;Medication
MEDS;Medications
MEETER;Person who likes to look at fat men
MEGO;My Eyes Glazed Over
MENTHOL;Mint flavored cigarette
MEP;Member of the European Parliament
MERC;Mercenary
MERK;Kill
MERT;Mate
MESOS;Currency in the game Maple Story
METH;Methamphetamine
MF;Mother Fucker
MFB;Mother Fucking Bitch
MFC;Mildly Fat Chick
MFEO;Made For Each Other
MFF;Male and two Females
MFG;Mit Freundlichen Gruessen
MFIC;Mother Fucker In Charge
MFL;Marked For Later
MFM;2 Males and a Female
MFW;My Face When ...
MGBY;May God Bless You
MH;Map Hack
MHBFY;My Heart Bleeds For You
MHM;To accept or say yes
MIA;Missing In Action
MIB;Men In Black
MID;Mid grade marijuana
MIFF;Annoy
MIH;Make It Happen
MIHOP;Made It Happen on Purpose
MIL;Mother In Law
MILEAGE;Value for money
MILF;Mother I'd Like to Fuck
MILT;Semen
MILTF;same as MILF
MIMO;Multiple Input Multiple Output
MIN;Minute
MINGA;ugly person
MINGE;Female pubic hair
MINGER;Ugly person
MINGING;Dirty, disgusting, ugly
MINT;Nice, cool
MIP;Minor In Possession
MIRF;Mother I'd Run From
MIRIN;Admiring
MISB;Mint condition In Sealed Box
MISH;Missionary position
MISO;My Internet Shut Off
MIXOLOGY;Study of mixing drinks
MIZ;Miserable
MJ;Michael Jackson
MK;hm ok
MKAY;Okay
ML;Much Love
MLG;Major League Gaming
MLIA;My Life Is Average
MLIB;My Life Is Bro
MLIG;My Life Is Great/Good
MLK;Malakas
MLM;Multi-Level Marketing
MLS;My Life Sucks
MLTR;Multiple Long Term Relationships
MLYP;Much Like Your Post
MM;Married Man
MM2;Message Mode 2
MMA;Meet Me At
MMAMP;Meet Me At My Place
MMC;MultiMedia Card
MMD;Make My Day
MMF;2 Males and a Female
MMFCL;Much Mother F***ing Clown Love
MMFWCL;Much Mother F***ing Wicked Clown Love
MMI;Me Myself and I
MMJ;Medical Marijuana
MMK;Mm OK
MML;Made Me Laugh
MMO;Massively Multiplayer Online
MMORPG;Massively Multiplayer Online Role Playing Game
MMS;Multimedia Messaging Service
MMV;Mileage May Vary
MNF;Monday Night Football
MNM;Eminem
MNT;Maybe Next Time
MO;Modus Operandi
MO PO;Mounted Police
MOAR;More
MOB;Hostile Creature
MOBBING;Bullying
MOBO;Motherboard
MOC;Marriage Of Convenience
MOFO;Mother Fucker
MOFU;Mother Fucker
MOH;My Other Half
MOJO;Sex appeal
MOL;More Or Less
MON;Man
MONG;Complete idiot
MONROE;Piercing between nose and upper lip
MOO;Matter of Opinion
MOOB;Man boob
MOOBS;Man boobs
MOOLAH;Money
MOON;Display one's buttocks
MOP;Hair on head
MOQ;Minimum Order Quantity
MORF;Male or Female
MOS;Mom Over Shoulder
MOSH;Push/shove at rock/punk concert
MOSS;Relax, chill
MOT;Ministry Of Transport test for car safety
MOTA;Marijuana, weed
MOTD;Message Of The Day
MOTKU;Master Of The Known Universe
MOTO;Master Of The Obvious
MOTWYW;Make Of That What You Will
MOU;Memorandum Of Understanding
MOX;Young homosexual man
MOXY;Courage, confidence
MP;Military Police
MP5;Heckler and Koch submachine gun
MPA;Music Publishers' Association
MPAA;Motion Picture Assosciation of America
MPCFS;Multiple Point Covered Full Service
MPE;My Point Exactly
MPEG;Moving Picture Experts Group
MPG;Miles Per Gallon
MPH;Miles Per Hour
MPOS;Multiple Positions
MPP;Missing Presumed Pissed
MPUA;Master Pick Up Artist
MPV;Multi-Purpose Vehicle
MR;Mentally Retarded
MRA;Man bra
MRE;Meal, Ready to Eat
MRP;Manufacturer's Recommended Price
MS;Microsoft
MSDN;Microsoft Developer Network
MSDOS;Microsoft Disk Operating System
MSF;Male Seeking Female
MSFAM;My Sister From Another Mister
MSG;Message
MSI;Mindless Self Indulgence
MSM;Mainstream Media
MSOG;Multiple Shots on Goal
MSR;Mulder/Scully Romance
MSRP;Manufacturer's Suggested Retail Price
MT;Mistell
MTA;More Than Anything
MTBF;Mean Time Between Failures
MTBMW;May The Best Man Win
MTC;More To Come
MTE;My Thoughts Exactly
MTF;Male To Female
MTFBWU;May The Force Be With You
MTFBWY;May The Force Be With You
MTH;Month
MTLBWY;May The Lord Be With You
MTO;Media Take Out (gossip website)
MTV;Music Television
MTYK;More Than You Know
MU;Multi User
MUA;Make-Up Alley (website)
MUCHO;very
MUD;Multi-User Dungeon
MUDSHARK;White woman dating black men
MUFC;Manchester United Football Club
MUFF;Vagina
MUH;Me/My
MULA;Money
MULU;Miss You, Love You
MUM;Mom
MURKED;Badly defeated, killed
MURSE;Male nurse
MUSH;Friend
MUSM;Miss You So Much
MUT;Vagina
MVP;Most Valuable Player
MW;Man Whore
MW2 ;Modern Warfare 2 
MW4MW;Man and Woman looking for another Man and Woman
MW4W;Man and Woman looking for another Woman
MWA;Kiss
MWAH;Kiss
MWC;Married With Children
MWF;Married White Female
MWHA;Kiss
MWI;drunk
MWM;Married White Male
MX;Motocross
MYF;Miss Your Face
MYFA;Move Your Fat Ass
MYFB;Mind Your Fucking Business
MYGGWY;May Your God Go With You
MYL;Miss You Loads
MYMP;Make Your Mama Proud
MYOB;Mind Your Own Business
MYODB;Mind Your Own Damn Business
MYOFB;Mind Your Own Fucking Business
MYSM;Miss You So Much
N;And
N/C;Not Cool
N/H;No Homo
N00B;Newbie
N1;Nice One
N2B;Not Too Bad
N2G;Need To Go
N2K;Nice To Know
N2M;Not Too Much
N2MU;Nice To Meet You
N3;No Name Noob
N4P;Noob
N8;Night
NA;Not Available
NAA;Not At All
NAB;newbie
NABD;Not A Big Deal
NAC;Not A Chance
NACKERS;Testicles
NAD;Testicle
NADA;Nothing
NADDA;Nothing
NAFTA;Nother Afternoon Fucking That Ass
NAGL;Not A Good Look
NAH;No
NAHMEAN;You know what I mean
NAIJA;Nigerian
NAIL;Have Sex
NAK;Nursing At Keyboard
NALGO;Not A Lot Going On
NALOPKT;Not A Lot Of People Know That.
NAMASTE;Sanskrit greeting
NANG;Cool
NAO;Now
NAP;Not A Problem
NARB;No Apparent Reason Boner
NARF;Random interjection
NARK;Informer
NARU;Not A Registered User
NAS;Network Attached Storage
NASA;National Aeronautics and Space Administration
NASL;Name, Age, Sex, Location
NATCH;Naturally
NATI;Cincinnati
NATM;Not At The Moment
NATTY;Natural Light beer
NAW;No
NAWT;Not
NAY;No
NB;Not Bad
NBC;National Broadcasting Company
NBD;No Big Deal
NBF;New Best Friend
NBM;Nil By Mouth
NBS;No Bull Shit
NBSB;No Boyfriend Since Birth
NBSP;No Bull Shit Please
NBT;Nothing But Trouble
NBTD;Nothing Better To Do
NC;No Comment
NC-17;No Children under 17
NCIS;Naval Criminal Investigative Service
NCO;Non-Commissioned Officer
ND;And
NDI;Neither Do I
NDN;Indian
NDP;New Democratic Party
NDR ;Non-Delivery Report/Receipt
NDS;Nintendo DS
NDSOS;New Day, Same Old shit
NE;Any
NE1;Anyone
NEA;National Education Association
NEAT-O;Cool
NED;Non-Educated Delinquent
NEDM;Not Even Doom Music
NEE;Maiden name indicator
NEEK;nerd
NEET;Not in Education, Employment or Training
NEFIN;Anything
NEG;Negative
NEI;Not Enough Information
NEL;No
NERF;Weaken
NEWAY;Anyway
NEWB;Newbie
NEWBIE;New Person
NEWFAG;Newcomer
NEWPORT;Cigarette brand
NEY;No
NF;Not Funny
NFA;No Further Action
NFC;No Fucking Clue
NFD;No Fucking Doubt
NFG;No Fucking Good
NFI;No Freakin Idea
NFM;No Further Message
NFN;Normal For Norfolk
NFP;No Fucking Problem
NFS;Not For Sale
NFT;No Further Text
NFW;No Fucking Way
NFZ;No Fly Zone
NG;No Good
NGH;Not Gonna Happen
NGL;Not Gonna Lie
NGO;Non-Governmental Organization
NGU;Never Give Up
NH;Nice hand
NHF;No Hard Feelings
NHN;Not Here Now
NHO;Nipple Hard On
NHOI;Never Heard Of It
NHS;National Health Service
NIAMY;Never In A Million Years
NIB;New In Box
NIC;Network Interface Card
NICKED;Stolen
NICKER;Pound
NIFOC;Naked In Front Of Computer
NIHAO;Hello
NIK;Now I Know
NIMBY;Not In My Back Yard
NIN;Nine Inch Nails
NINJA;Japanese warrior
NIPS;Nipples
NIR;NOOB In Room
NIT;New In Town
NITE;Good Night
NITM;Not In The Mood
NIZZ;No
NJ;Not Joking
NK;No Kidding
NKOTB;New Kid On The Block
NKT;I'm annoyed
NL;Netherlands
NLA;No Longer Available
NLI;Not Logged In
NLM;No Laughing Matter
NLT;No later than
NLYG;Never Let You Go
NM;Never Mind
NMF;Not My Fault
NMG;No Mames Guey
NMH;Nodding My Head
NMI;Need More Info
NMJ;Not My Job
NMJC;Not Much Just Chat
NMJCU;Not Much, Just Chilling, You?
NMN;No Middle Name
NMO;Not My Opinion
NMP;Not My Problem
NMR;Not My Responsibility
NMS;Not My Style
NMU;Not Much, You?
NMW;No Matter What
NMY;Nice Meeting You
NN;Night Night
NNITO;Not Necessarily In That Order
NNTR;No Need To Reply
NO1;No-one
NO1CURR;No One Cares
NOC;No One Cares
NOCAL;Northern California
NOD;Doze off
NOH;New Overhauled
NOK;Not Okay
NOM;No Offence Meant
NOMB;None Of My Business
NOMMY;Good, delicious
NOMNOM;Sound of eating
NOMO;Not homosexual
NOMS;Food
NON;Now Or Never
NONCE;Paedophile
NONYA;None of Your
NOOB;New, inexperienced person
NOOBLET;Young NOOB
NOOKIE;Sex
NOONER;Mid day sex
NOP;Not Our Problem
NOPE;No
NORCAL;Northern California
NORLY;No, Really?
NORWICH;Knickers Off Ready When I Come Home
NOS;New Old Stock
NOSA;No Sir, just kidding
NOTA;None Of The Above
NOTTIE;Unattractive person
NOUT;Nothing
NOV;Novice
NOWT;Nothing
NOYB;None Of Your Business
NOYDB;None Of Your Damn Business
NOYFB;None Of Your Fucking Business
NP;No Problem
NPAA;No Problem At All
NPC;Non Player Character
NPI;No Pun Intended
NPNT;No Picture, No Talk
NPO;Never Pull Out
NPS;No Problems
NPZ;No Problems
NQNS;No Quit, No Spit
NQR;Not Quite Right
NR;No Reply
NRA;National Rifle Association
NRFB;Never Removed From Box
NRG;Energy
NRI;Non-Repairable Item
NRL;National Rugby League
NRN;No Reply Necessary
NS;Nice Shot
NSA;No Strings Attached
NSF;Not Sufficient Funds
NSFA;Not Safe For Anyone
NSFV;Not Safe for Viewing
NSFW;Not Safe For Work
NSN;Not So Nice
NSS;No Shit, Sherlock
NSW;New South Wales
NT;No Thanks
NTB;Not That Bothered
NTBCW;Not To Be Confused With
NTD;Nothing To Do
NTFS;New Technology File System
NTH;Nothing
NTK;Need To Know
NTL;NeverTheLess
NTM;Not Too Much
NTMU;Nice To Meet You
NTMY;Nice To Meet You
NTN;No Thanks Needed
NTP;Need To Pee
NTS;Nothing To Say
NTT;Name That Tune
NTTAWWT;Not That There's Anything Wrong With That
NTTU;Not Talking To You
NTW;Not To Worry
NTWF;Neopian Times Writers Forum
NTY;No Thank You
NU;No
NUB;Someone who should know better
NUF;Enough
NUFF;Enough
NUH;No
NUKE;To attack with a nuclear weapon
NUMPTY;Idiot
NUTCASE;Crazy person
NUTZ;Nuts, crazy, insane
NV;Never
NVFM;Never Fucking Mind
NVM;Nevermind
NVMD;Never Mind
NVRM;Never Mind
NW;No Way
NWIH;No Way In Hell
NWIM;Not What I Mean
NWLY;Never Wanna Lose You
NWO;New World Order
NWOT;New Without Tags
NWS;Not Work Safe
NWT;New With Tags
NY;New York
NYC;New York City
NYE;New Years Eve
NYERK;Replacement swearword
NYK;Not Yet Known
NYOB;Not Your Own Business
NYPD;New York Police Department
NYSE;New York Stock Exchange
NYT;Not Your Type
O&O;Over and Out
O RLY;Oh, Really?
OA;Over Acting
OAN;On Another Note
OAO;Over And Out
OAP;Old Age Pensioner
OATUS;On A Totally Unrelated Subject
OAUS;On An Unrelated Subject
OB;Oh Brother
OBE;Overcome By Events
OBGYN;Gynecologist
OBHF;Old Bald Headed Fart
OBHWF;One Big Happy Weasely Family
OBO;Or Best Offer
OBS;Obviously
OBTW;Oh, By The Way.
OBV;Obviously
OBVI;Obviously
OBVS;Obviously
OBX;Outer Banks North Carolina
OC;Of Course
OCD;Obsessive Compulsive Disorder
OCO;Oh, Come On
OD;Overdose
ODG;Oh Dear God
ODL;Oh Dear Lord
ODST;Orbital Drop Shock Trooper
ODT;On Dis Ting
OE;Outlook Express
OED;Oxford English Dictionary
OEM;Original Equipment Manufacurer
OFC;Of Course
OFH;Old Folks' Home
OFT;Often
OG;Original Gangster
OGC;Masturbating
OGIM;Oh God It's Monday
OHAC;Own House And Car
OHAI;Oh, Hi
OHIM;Oh Hell It's Monday
OHK;Oh,Ok
OHN;Oh Hell, No!
OHS;Operator Head Space
OHT;One Handed Typing
OI;Hey
OIC;Oh, I See
OIK;Unpleasant, unpopular person
OIY;Hey
OJ;Only Joking
OJD;Obsessive Jonas (Brothers) Disorder
OJT;On Job Training
OKI;Okey Dokey, OK
OKIES;Okay
OKW/E;OK What-Ever
OL;Online
OLDFAG;Long established member of an online community
OLED;Organic Light-Emitting Diode
OLLG;One Less Lonely Girl
OM;Old Man
OM NOM;Sound of eating
OMA;Oh My Allah
OMB;On My Break
OMD;Oh My Days
OMDB;Over My Dead Body
OMDZ;Oh My Dayz
OMF;Oh my Fuck
OMFG;Oh My Fucking God
OMG;Oh My God
OMGD;Oh My God Dude
OMGNA;Oh My Gosh, Not Again
OMGSH;Oh My Gosh
OMGWTFBBQ;Oh My God, What The Fuck, Barbeque
OMGZ;Oh My God
OMJC;Oh My Jesus Christ
OML;Oh My Lord
OMMFG;Oh My Mother Fucking God
OMO;Odd Man Out
OMS;Oh My Science
OMSJ;Oh My Sweet Jesus!
OMT;One More Thing
OMW;On My Way
OMWH;On My Way Home
OMZ;Oh My Zeus
ON9;Stupid
ONCO;Or Nearest Cash Offer
ONG ;Misspelling of OMG
ONL;Online
ONNA;Oh No, Not Again
ONNTA;Oh No, Not This Again
ONO;Or Nearest Offer
ONOZ;Oh No
ONS;One Night Stand
ONTD;Oh No They Didn't
ONUD;Oh No You Didn't
ONYD;Oh No You Didn't
OO;Object Orientated
OOAK;One Of A Kind
OOC;Out Of Character
OOF;Out Of Office
OOFT;I'm impressed
OOI;Out Of Interest
OOM;Out of Mana
OOMF;One Of My Friends
OOML;Out Of My League
OOO;Out Of Office
OOP;Out Of Place
OOS;Out Of Style
OOSOOM;Out Of Sight, Out Of Mind
OOT;Out Of Town
OOTB;Out Of The Box
OOTC;Obligatory On-Topic Comment
OOTO;Out Of The Office
OP;Original Poster
OPA;Greek exclamation
OPB;Other People's Business
OPK;Other People's Kids
OPM;Other People's Money
OPP;Other Peoples Pussy
OPPS;oops
OPS;Oops
ORG;Organization
ORITE;Alright
ORKUT;Google's social network
ORLY;Oh Really
ORN;Oh Really Now
ORZ;Frustration
OS;Operating system
OSM;Awesome
OSN;Oh Shit Nigga
OSSIM;Awesome
OST;Original Sound Track
OT;Off Topic
OTA;Over The Air
OTAY;Okay
OTB;Off The boat
OTC;Over The Counter
OTD;On The Dot
OTE;Over The Edge
OTF;Off Topic Forum
OTFL;On The Floor Laughing
OTK;Over The Knee
OTL;Out To Lunch
OTM;Of The Moment
OTOH;On The Other Hand
OTOOH;On The Other Other Hand
OTP;One True Pairing
OTR;On The Run
OTS;On The Side
OTT;Over The Top
OTTH;On The Third Hand
OTTOMH;Off The Top Of My Head
OTW;On The Way
OTW;On The Whole
OTY;Over To You
OUGHTA;Ought to
OUTTA;Out Of
OVA;Original Video Animation
OVNO;Or Very Near Offer
OVO;Obviously
OWNM;Oh Well, Never Mind
OWO;Oral Without
OWT;Anything
OWTTE;Or Words To That Effect
OX;Sharp blade
OXY;OxyContin
OY;Oh Yeah
OYE;Listen up
OYG;Oh Your God
OYO;On Your Own
OZ;Australia
P&C;Point and Click
P&L;Peace and Love
P&P;Party And Play
P/U;Pick Up
P/X;Part exchange
P2C2E;Process Too Complicated To Explain
P2P;Peer To Peer
P4P;Pound For Pound
P90X;Type of workout schedule
P911;Parent Alert
PA;Personal Assistant
PAC;Gangsta rapper Tupac Shakur
PAD;House, room
PAF;Phone A Friend
PAL;Parents Are Listening
PANSY;unmanly person
PAR;Disrespect
PARA;Paralytic, very drunk
PATD;Panic At The Disco
PATT;Party All The Time
PAW;Parents are watching
PAYCE;Peace
PAYG;Pay As You Go
PB;Personal Best
PB&J;Peanut Butter and Jelly
PBQ;Please Be Quiet
PBR;Pabst Blue Ribbon
PBS;Public Broadcasting Service
PBUH;Peace Be Upon Him
PBWU;Peace Be With You
PBWY;Peace Be With You
PC;Politically Correct
PC 4 PC;Picture Comment For Picture Comment
PC4PC;Picture Comment For Picture Comment.
PCB;Printed Circuit Board 
PCD;Pussycat Dolls
PCE;Goodbye
PCI;Peripheral Component Interconnect
PCMIA;Personal Computer Manufacturer Interface Adaptor
PCP;Phencyclidine, Angel dust
PD;Public Domain
PDA;Personal Digital Assistant
PDBAZ;Please Don't Be A Zombie
PDF;Portable Document Format
PDG;Pretty Damn Good
PDOA;Public Display Of Affection
PDQ;Pretty Damn Quick
